,strain,type,rating,effects,taste
809,Fruity Pebbles,hybrid,4.4,"Happy,Relaxed,Uplifted,Euphoric,Giggly","Sweet,Tropical,Berry"
810,Fruity Widow,hybrid,4.9,"Relaxed,Sleepy,Happy,Hungry,Talkative","Sweet,Blueberry"
811,Fruitylicious,indica,4,"Relaxed,Happy,Euphoric,Uplifted,Aroused","Sweet,Blueberry,Minty"
812,Fucking Incredible,indica,4.3,"Relaxed,Happy,Euphoric,Hungry,Giggly","Earthy,Pungent,Woody"
813,Full Moon,sativa,4.9,"Aroused,Creative,Euphoric,Happy,Uplifted","Spicy/Herbal,Citrus,Earthy"
814,Funfetti,hybrid,4.8,"Happy,Relaxed,Euphoric,Energetic,Uplifted","Berry,Woody,Earthy"
815,Funky Monkey,indica,4.4,"Relaxed,Tingly,Happy,Giggly,Uplifted","Grape,Earthy,Berry"
816,Future,hybrid,4.8,"Relaxed,Euphoric,Uplifted,Sleepy,Happy","Diesel,Earthy,Citrus"
817,Goat,hybrid,4.4,"Euphoric,Relaxed,Sleepy,Energetic,Happy","Earthy,Sage,Lemon"
818,G 13,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Earthy,Sweet,Woody"
819,G13 Diesel,hybrid,4.8,"Euphoric,Happy,Creative,Relaxed,Focused","Sweet,Diesel,Skunk"
820,G13 Haze,hybrid,4.4,"Happy,Relaxed,Euphoric,Creative,Focused","Pine,Sweet,Earthy"
821,G13 Widow,hybrid,4.8,"Creative,Euphoric,Focused,Tingly,Sleepy","Flowery,Earthy,Lime"
822,Gg 1,hybrid,4.5,"Relaxed,Euphoric,Happy,Sleepy,Uplifted","Earthy,Pungent,Pine"
823,Gg 4,hybrid,4.7,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Earthy,Pungent,Pine"
824,Gg 5,hybrid,4.5,"Relaxed,Happy,Sleepy,Euphoric,Uplifted","Earthy,Pungent,Woody"
825,Gi 001,hybrid,5,"Creative,Focused,Energetic,Uplifted,Euphoric","Citrus,Lime,Lemon"
826,Griz Kush,hybrid,4.5,"Happy,Euphoric,Creative,Uplifted,Energetic","Pungent,Skunk,Lemon"
827,Gsc,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Creative","Earthy,Sweet,Pungent"
828,Gto,hybrid,4,"Energetic,Focused,Uplifted,Creative,Euphoric",Blueberry
829,Gabriel Sherbet,hybrid,5,"Euphoric,Relaxed,Uplifted,Happy,Focused","Berry,Minty,Sweet"
830,Galactic Jack,sativa,4.6,"Energetic,Uplifted,Focused,Euphoric,Relaxed","Citrus,Sweet,Flowery"
831,Galactica Og,indica,5,"Euphoric,Focused,Relaxed","Spicy/Herbal,Earthy,Pungent"
832,Game Changer,hybrid,4.5,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Earthy,Grape,Apple"
833,Gandalf Og,indica,4.9,"Sleepy,Relaxed,Happy,Euphoric,Tingly","Pine,Sweet,Grape"
834,Ganesh Berry,hybrid,4.6,"Euphoric,Relaxed,Uplifted,Creative,Focused","Flowery,Sweet,Berry"
835,Garlic Bud,indica,4.1,"Relaxed,Happy,Creative,Uplifted,Tingly","Earthy,Woody,Pepper"
836,Gas Mask,indica,4.2,"Sleepy,Tingly,Euphoric,Relaxed","Diesel,Pungent,Chemical"
837,Gatekeeper Og,hybrid,5,"Euphoric,Relaxed,Sleepy,Uplifted,Focused","Earthy,Sweet,Flowery"
838,Gelato,hybrid,4.7,"Relaxed,Happy,Euphoric,Uplifted,Creative","Sweet,Pungent,Flowery"
839,Gemstone,hybrid,4.8,"Happy,Relaxed,Focused,Euphoric,Uplifted","Citrus,Flowery,Earthy"
840,Georgia Pine,hybrid,4.8,"Euphoric,Uplifted,Energetic,Happy,Relaxed","Sweet,Flowery,Pine"
841,Ghost Cookies,hybrid,4.8,"Sleepy,Happy,Relaxed,Uplifted,Giggly","Berry,Earthy,Blueberry"
842,Ghost Og,hybrid,4.5,"Relaxed,Happy,Uplifted,Euphoric,Hungry","Sweet,Citrus,Earthy"
843,Ghost Og Moonshine,indica,4.8,"Happy,Uplifted,Euphoric,Hungry,Relaxed","Pungent,Skunk,Pine"
844,Ghost Ship,indica,4,"Relaxed,Happy,Sleepy,Euphoric,Tingly","Earthy,Pungent,Skunk"
845,Ghost Train Haze,sativa,4.6,"Uplifted,Happy,Energetic,Euphoric,Focused","Earthy,Citrus,Pine"
846,Gigabud,indica,4.4,"Relaxed,Uplifted,Happy,Tingly,Energetic","Sweet,Spicy/Herbal,Tropical"
847,Ginger Ale,hybrid,4.9,"Euphoric,Happy,Relaxed,Creative,Giggly","Berry,Earthy,Diesel"
848,Glad Max,hybrid,4.3,"Euphoric,Relaxed,Uplifted,Happy,Creative","Earthy,Sweet,Flowery"
849,Glass Apple,hybrid,4.8,"Uplifted,Energetic,Focused,Euphoric,Happy","Apple,Sweet,Minty"
850,Glass Slipper,hybrid,4.3,"Happy,Uplifted,Relaxed,Euphoric,Creative","Sweet,Earthy,Flowery"
851,Glue Tech,hybrid,4.6,"Happy,Relaxed,Hungry,Uplifted,Euphoric","Earthy,Sweet,Berry"
852,Go Time,hybrid,4.3,"Focused,Uplifted,Energetic,Euphoric,Relaxed","Earthy,Woody,Tea"
853,Gobbilygoo,indica,4.5,"Hungry,Euphoric,Relaxed,Happy,Sleepy","Berry,Grape,Lavender"
854,Gobbstopper,indica,4.5,"Happy,Relaxed,Sleepy,Creative,Euphoric","Spicy/Herbal,Sweet,Berry"
855,God Bud,indica,4.3,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Pungent,Earthy,Sweet"
856,Gods Gift,indica,4.5,"Relaxed,Happy,Euphoric,Sleepy,Hungry","Grape,Earthy,Sweet"
857,Gods Green Crack,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Energetic","Earthy,Woody,Sweet"
858,Godberry,indica,4.6,"Relaxed,Happy,Hungry,Sleepy,Euphoric","Earthy,Berry,Blueberry"
859,Godfather Og,indica,4.6,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Earthy,Pine,Spicy/Herbal"
860,Godfather Purple Kush,indica,4.3,"Euphoric,Relaxed,Happy,Sleepy,Tingly","Berry,Spicy/Herbal,Pungent"
861,Godzilla,indica,4.3,"Relaxed,Euphoric,Happy,Hungry,Tingly","Earthy,Flowery,Woody"
862,Godzilla Blood,hybrid,None,None,None
863,Godzilla Glue,hybrid,4.7,"Uplifted,Focused,Happy,Relaxed,Euphoric","Tropical,Spicy/Herbal,Sweet"
864,Gods Bubba,indica,4.7,"Relaxed,Happy,Sleepy,Tingly,Uplifted","Earthy,Pungent,Woody"
865,Gods Treat,indica,4.7,"Uplifted,Euphoric,Happy,Focused,Energetic","Blueberry,Berry,Flowery"
866,Gog Magog,indica,4.5,"Sleepy,Hungry,Uplifted,Euphoric,Happy","Earthy,Pungent,Spicy/Herbal"
867,Goji Diesel,hybrid,4.8,"Euphoric,Focused,Uplifted,Creative,Happy",Diesel
868,Goji Og,hybrid,4.5,"Happy,Relaxed,Uplifted,Euphoric,Creative","Sweet,Berry,Citrus"
869,Gold Kings Thai,sativa,4.5,"Energetic,Happy,Aroused,Uplifted,Creative","Earthy,Citrus,Lime"
870,Goldberry,indica,4.5,"Euphoric,Tingly,Creative,Happy,Focused","Mint,Earthy,Woody"
871,Golden Calyx,sativa,5,"Relaxed,Uplifted,Energetic,Happy,Aroused","Sweet,Citrus,Tropical"
872,Golden Gage,hybrid,4.4,"Happy,Energetic,Talkative,Giggly,Uplifted","Pepper,Spicy/Herbal,Citrus"
873,Golden Goat,hybrid,4.5,"Uplifted,Happy,Euphoric,Relaxed,Energetic","Sweet,Citrus,Tropical"
874,Golden Lemon,hybrid,4.7,"Uplifted,Relaxed,Euphoric,Tingly,Happy","Lemon,Citrus,Sweet"
875,Golden Nugget,hybrid,4.8,"Uplifted,Creative,Focused,Happy,Aroused","Sweet,Lime,Skunk"
876,Golden Panda,hybrid,4.6,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Pungent,Sweet,Citrus"
877,Golden Pineapple,hybrid,4.5,"Happy,Euphoric,Uplifted,Relaxed,Creative","Pineapple,Tropical,Citrus"
878,Golden Soda,hybrid,None,None,None
879,Golden State Banana,indica,4.8,"Euphoric,Relaxed,Sleepy,Creative,Happy","Citrus,Sweet,Tropical"
880,Golden Tangie,sativa,3.5,"Focused,Happy,Aroused,Energetic,Tingly","Citrus,Orange,Earthy"
881,Golden Ticket,hybrid,4.5,"Happy,Euphoric,Uplifted,Relaxed,Creative","Citrus,Earthy,Lemon"
882,Golden Tiger,sativa,5,"Talkative,Uplifted,Energetic,Euphoric,Happy","Minty,Lemon,Apricot"
883,Goo,indica,4.3,"Relaxed,Sleepy,Hungry,Euphoric,Happy","Berry,Blueberry,Sweet"
884,Gooberry,indica,4.3,"Sleepy,Aroused,Hungry,Relaxed,Happy","Blueberry,Berry,Sweet"
885,Good Medicine,hybrid,4.3,"Uplifted,Energetic,Happy,Focused,Talkative","Earthy,Spicy/Herbal,Citrus"
886,Gorilla Biscuit,indica,4.7,"Relaxed,Euphoric,Creative,Sleepy,Happy","Coffee,Pine,Cheese"
887,Gorilla Cookies,hybrid,4.8,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Sweet,Earthy,Minty"
888,Gorilla Grips,indica,5,"Sleepy,Uplifted,Euphoric,Happy,Relaxed","Blueberry,Grape,Berry"
889,Gorkle,sativa,5,"Relaxed,Happy,Creative,Focused,Aroused",Sweet
890,Government Mule,indica,4,"Euphoric,Relaxed","Sweet,Lemon,Flowery"
891,Grand Doggy Purps,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Tingly","Sweet,Grape,Earthy"
892,Grand Hindu,indica,4.6,"Relaxed,Happy,Euphoric,Focused,Uplifted","Grape,Berry,Sweet"
893,Grand Hustle,hybrid,4.1,"Uplifted,Relaxed,Euphoric,Focused,Giggly","Honey,Earthy,Citrus"
894,Granddaddy Purple,indica,4.4,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Grape,Berry,Sweet"
895,Grandmas Batch,hybrid,4.8,"Euphoric,Happy,Tingly,Uplifted,Creative","Butter,Lemon,Flowery"
896,Grandmas Sugar Cookies,indica,5,"Relaxed,Happy,Energetic,Focused,Creative","Pungent,Sweet,Cheese"
897,Grandpa Larry Og,indica,4.4,"Euphoric,Happy,Relaxed,Sleepy,Focused","Grape,Pungent,Earthy"
898,Grandpas Breath,indica,4.7,"Relaxed,Euphoric,Sleepy,Uplifted,Creative","Earthy,Flowery,Lavender"
899,Grape Ape,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Grape,Sweet,Berry"
900,Grape Calyx,hybrid,5,"Uplifted,Creative,Euphoric,Happy,Hungry","Sweet,Grape,Flowery"
901,Grape Cookies,indica,4.6,"Relaxed,Creative,Uplifted,Sleepy,Euphoric","Grape,Berry,Diesel"
902,Grape Crush,hybrid,4.3,"Happy,Uplifted,Talkative,Hungry,Energetic","Grape,Sweet,Berry"
903,Grape Dawg,hybrid,None,None,None
904,Grape Drink,indica,4.7,"Tingly,Creative,Euphoric,Giggly,Happy","Grape,Sweet,Flowery"
905,Grape God,hybrid,4.3,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Grape,Berry,Sweet"
906,Grape Inferno,indica,4.5,"Relaxed,Happy,Sleepy,Euphoric,Tingly","Grape,Sweet,Diesel"
907,Grape Krush,indica,4.3,"Happy,Uplifted,Talkative,Hungry,Energetic","Grape,Sweet,Berry"
908,Grape Kush,hybrid,3.9,"Relaxed,Happy,Giggly,Sleepy,Euphoric","Grape,Sweet,Earthy"
909,Grape Ox,indica,4.6,"Sleepy,Relaxed,Hungry,Tingly,Uplifted","Grape,Cheese,Sweet"
910,Grape Skunk,indica,4.1,"Happy,Relaxed,Giggly,Tingly,Euphoric","Grape,Sweet,Skunk"
911,Grape Soda,hybrid,4.9,"Relaxed,Happy,Euphoric,Uplifted,Creative","Grape,Citrus,Sweet"
912,Sour Grapes,hybrid,4.4,"Happy,Relaxed,Uplifted,Euphoric,Hungry","Grape,Sweet,Berry"
913,Grape Valley Kush,indica,4.8,"Relaxed,Sleepy,Euphoric,Happy,Aroused","Berry,Grape,Pine"
914,Grapefruit,sativa,4.3,"Uplifted,Energetic,Happy,Euphoric,Focused","Grapefruit,Citrus,Sweet"
915,Grapefruit Diesel,hybrid,4.2,"Focused,Energetic,Relaxed,Euphoric,Happy","Grapefruit,Citrus,Diesel"
916,Grapefruit Haze,sativa,4.4,"Uplifted,Happy,Energetic,Euphoric,Relaxed","Diesel,Earthy,Grapefruit"
917,Grapefruit Kush,hybrid,4.3,"Happy,Uplifted,Relaxed,Focused,Creative","Grapefruit,Sweet,Citrus"
918,Gravity,indica,4,"Sleepy,Hungry,Relaxed,Aroused,Euphoric","Sweet,Citrus,Rose"
919,Grease Monkey,hybrid,4.6,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Earthy,Pungent,Diesel"
920,White Shark,sativa,4.2,"Happy,Uplifted,Relaxed,Focused,Euphoric","Sweet,Citrus,Earthy"
921,Green Avenger,hybrid,5,"Energetic,Happy,Uplifted,Creative,Euphoric","Sweet,Minty,Honey"
922,Green Candy,sativa,4.3,"Uplifted,Happy,Relaxed,Focused,Giggly","Earthy,Sweet,Tobacco"
923,Green Cheese,hybrid,4.1,"Euphoric,Relaxed,Energetic,Focused,Creative","Pungent,Cheese,Earthy"
924,Green Crack,sativa,4.3,"Energetic,Happy,Uplifted,Focused,Euphoric","Earthy,Citrus,Sweet"
925,Green Crack Extreme,sativa,4.6,"Energetic,Creative,Focused,Euphoric,Uplifted","Sweet,Earthy,Spicy/Herbal"
926,Green Door Kush,hybrid,4.5,"Happy,Relaxed,Euphoric,Creative,Hungry","Spicy/Herbal,Citrus,Woody"
927,Green Dragon,indica,4.2,"Uplifted,Happy,Focused,Energetic,Relaxed","Sweet,Earthy,Pungent"
928,Green Dream,hybrid,4.4,"Happy,Uplifted,Creative,Euphoric,Hungry","Earthy,Citrus,Flowery"
929,Green Goblin,sativa,4.3,"Uplifted,Euphoric,Happy,Focused,Creative","Sweet,Pine,Diesel"
930,Green Goddess,hybrid,4.6,"Euphoric,Relaxed,Aroused,Happy,Uplifted","Citrus,Earthy,Flowery"
931,Green Haze,sativa,3.8,"Happy,Talkative,Creative,Focused,Hungry","Woody,Flowery,Earthy"
932,Green Kush,indica,3.8,"Euphoric,Hungry,Energetic,Relaxed,Focused","Citrus,Sweet,Earthy"
933,Green Lantern,sativa,4.6,"Uplifted,Energetic,Talkative,Focused,Hungry","Earthy,Pine,Citrus"
934,Green Line Og,hybrid,5,"Happy,Relaxed,Sleepy,Hungry,Uplifted","Sweet,Lime,Skunk"
935,Green Love Potion,indica,4.1,"Creative,Hungry,Relaxed,Uplifted,Happy","Spicy/Herbal,Lavender,Sweet"
936,Green Mango,indica,4.4,"Euphoric,Uplifted,Happy,Creative,Relaxed","Citrus,Earthy,Woody"
937,Green Poison,indica,4.2,"Relaxed,Happy,Euphoric,Sleepy,Hungry","Sweet,Flowery,Earthy"
938,Green Python,indica,4.3,"Sleepy,Euphoric,Happy,Relaxed,Tingly","Woody,Sweet,Earthy"
939,Green Queen,hybrid,4.2,"Happy,Hungry,Energetic,Euphoric,Creative","Sweet,Citrus,Pine"
940,Green Ribbon,hybrid,4.2,"Energetic,Happy,Focused,Creative,Talkative","Sweet,Earthy,Flowery"
941,Gremlin,hybrid,4.4,"Euphoric,Relaxed,Uplifted,Aroused,Sleepy","Sweet,Pungent,Citrus"
942,Grilled Cheese,hybrid,4.7,"Uplifted,Creative,Energetic,Euphoric,Focused","Cheese,Pepper,Pungent"
943,Grimace,indica,4.4,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Earthy,Sweet,Pungent"
944,Grimace Og,indica,4.3,"Sleepy,Euphoric,Relaxed,Aroused,Happy","Pungent,Diesel,Spicy/Herbal"
945,Guard Dawg,indica,4.2,"Happy,Relaxed,Sleepy,Euphoric","Diesel,Sweet,Earthy"
946,Guava Chem,hybrid,4.5,"Relaxed,Creative,Happy,Focused,Euphoric","Tropical,Sweet,Chemical"
947,Guava Gelato,hybrid,4.3,"Sleepy,Euphoric,Happy,Relaxed,Uplifted","Mint,Grapefruit,Tropical"
948,Guava Kush,hybrid,4.1,"Relaxed,Sleepy,Happy,Uplifted,Euphoric","Sweet,Tropical,Peach"
949,Gucci Og,hybrid,4.7,"Euphoric,Happy,Uplifted,Relaxed,Energetic","Pine,Lemon,Sweet"
950,Gumbo,indica,4.6,"Relaxed,Euphoric,Happy,Sleepy,Hungry","Earthy,Sweet,Flowery"
951,Gummo,hybrid,5,"Euphoric,Uplifted,Happy,Relaxed,Aroused","Citrus,Sweet,Orange"
952,Gummy Bears,hybrid,4.2,"Relaxed,Uplifted,Happy,Euphoric,Sleepy","Sweet,Berry,Strawberry"
953,Gupta Haze,hybrid,5,"Relaxed,Happy,Sleepy,Euphoric,Giggly","Earthy,Citrus,Lemon"
954,Gupta Kush,hybrid,4.3,"Relaxed,Sleepy,Hungry,Aroused,Happy","Sweet,Earthy,Woody"
955,Guptilla,hybrid,5,"Happy,Relaxed,Euphoric,Focused,Sleepy","Grape,Pepper,Orange"
956,Gutbuster,indica,4.5,"Relaxed,Sleepy,Giggly,Tingly,Happy","Blueberry,Woody,Berry"
957,Hades Haze,indica,4.7,"Relaxed,Sleepy,Talkative,Euphoric,Giggly","Citrus,Minty,Earthy"
958,Haleighs Hope,hybrid,4.8,"Relaxed,Happy,Uplifted,Talkative,Euphoric","Earthy,Pine,Pungent"
959,Hammerhead,indica,5,"Sleepy,Aroused,Tingly,Relaxed,Uplifted","Diesel,Berry,Earthy"
960,Hannibal Nectar,indica,None,"Uplifted,Euphoric,Happy,Sleepy,Creative","Strawberry,Earthy,Vanilla"
961,Haole,hybrid,4.1,"Euphoric,Relaxed,Happy,Uplifted,Creative","Sweet,Pungent,Earthy"
962,Haoma,indica,4.8,"Relaxed,Happy,Sleepy,Hungry,Uplifted","Citrus,Flowery,Earthy"
963,Haoma Mist,hybrid,5,"Tingly,Happy,Relaxed,Uplifted,Euphoric","Sweet,Flowery,Citrus"
964,Hardcore Og,indica,4.6,"Relaxed,Happy,Uplifted,Sleepy,Tingly","Earthy,Sweet,Berry"
965,Harle Tsu,hybrid,4.4,"Relaxed,Happy,Uplifted,Focused,Euphoric","Earthy,Woody,Spicy/Herbal"
966,Harlequin,sativa,4.3,"Relaxed,Focused,Happy,Uplifted,Energetic","Earthy,Sweet,Woody"
967,Harlequin Gdp,hybrid,4.2,"Relaxed,Talkative,Tingly,Energetic,Euphoric","Mint,Earthy"
968,Harley Storm,sativa,4.8,"Relaxed,Uplifted,Creative,Euphoric,Happy","Spicy/Herbal,Sweet,Tropical"
969,Harley Twin,sativa,5,"Uplifted,Creative,Energetic,Euphoric,Relaxed",Sweet
970,Harmonia,indica,4.3,"Relaxed,Happy,Uplifted,Focused,Sleepy","Earthy,Sweet,Tropical"
971,Harmony,hybrid,4.4,"Relaxed,Euphoric,Focused,Creative,Happy","Woody,Citrus,Lemon"
972,Harry Potter,hybrid,4.8,"Relaxed,Happy,Uplifted,Creative,Giggly","Sweet,Citrus,Lemon"
973,Hash Plant,indica,4.2,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Earthy,Spicy/Herbal,Diesel"
974,Hashbar Og,indica,4.5,"Euphoric,Happy,Relaxed,Creative,Focused","Skunk,Sweet,Earthy"
975,Hashberry,indica,4.3,"Relaxed,Euphoric,Hungry,Happy,Focused","Berry,Sweet,Mint"
976,Hashplant Haze,sativa,4.4,"Happy,Uplifted,Relaxed,Euphoric,Sleepy","Blueberry,Sweet,Orange"
977,Hawaiian,sativa,4.2,"Uplifted,Relaxed,Euphoric,Talkative,Giggly","Sweet,Tropical,Citrus"
978,Hawaiian Cookies,hybrid,4.6,"Happy,Relaxed,Creative,Energetic,Aroused","Sweet,Citrus,Pineapple"
979,Hawaiian Delight,indica,3.8,"Happy,Relaxed,Aroused,Uplifted,Euphoric","Pungent,Sweet,Diesel"
980,Hawaiian Diesel,sativa,4.2,"Uplifted,Creative,Euphoric,Happy,Relaxed","Diesel,Citrus,Tropical"
981,Hawaiian Dream,sativa,4.4,"Uplifted,Relaxed,Happy,Focused,Euphoric","Sweet,Tropical,Pineapple"
982,Hawaiian Fire,hybrid,4.4,"Energetic,Focused,Talkative,Euphoric,Uplifted","Tropical,Sweet,Strawberry"
983,Hawaiian Haze,sativa,4.4,"Uplifted,Happy,Energetic,Talkative,Relaxed","Sweet,Tropical,Pineapple"
984,Hawaiian Mayan Gold,sativa,5,"Uplifted,Creative,Energetic,Euphoric,Happy","Minty,Sweet,Lime"
985,Hawaiian Punch,sativa,4.4,"Uplifted,Happy,Relaxed,Euphoric,Tingly","Sweet,Citrus,Berry"
986,Hawaiian Purple Kush,indica,4.5,"Relaxed,Happy,Giggly,Creative,Talkative","Tropical,Sweet,Flowery"
987,Hawaiian Sativa,sativa,4.2,"Uplifted,Euphoric,Happy,Relaxed,Creative","Citrus,Sweet,Tropical"
988,Hawaiian Skunk,hybrid,4.2,"Sleepy,Happy,Euphoric,Uplifted,Energetic","Sweet,Earthy,Skunk"
989,Hawaiian Snow,sativa,4.5,"Happy,Creative,Euphoric,Uplifted,Energetic","Tropical,Earthy,Woody"
990,Hawaiian Sunrise,hybrid,4.1,"Uplifted,Happy,Relaxed,Tingly,Energetic","Citrus,Lemon,Spicy/Herbal"
991,Hawaiian Trinity,hybrid,5,"Talkative,Uplifted,Creative,Euphoric,Focused","Sweet,Tropical,Flowery"
992,Hawaii 78,sativa,4.8,"Creative,Euphoric,Happy,Relaxed,Sleepy","Pineapple,Sweet,Tropical"
993,Hayleys Haze,sativa,None,"Sleepy,Uplifted,Focused",Apple
994,Haze,sativa,4.2,"Uplifted,Happy,Creative,Tingly,Relaxed","Earthy,Pungent,Sweet"
995,Haze Berry,sativa,4.2,"Talkative,Aroused,Giggly,Happy,Energetic","Sweet,Berry,Blueberry"
996,Haze Heaven,hybrid,4.5,"Happy,Talkative,Uplifted,Energetic,Creative","Pungent,Spicy/Herbal,Sweet"
997,Haze Mist,sativa,4,"Energetic,Focused,Happy,Hungry",None
998,Haze Wreck,sativa,4.6,"Uplifted,Happy,Euphoric,Talkative,Creative","Citrus,Pine,Woody"
999,Head Cheese,hybrid,4.6,"Euphoric,Happy,Uplifted,Creative,Relaxed","Cheese,Pungent,Earthy"
1000,Head Trip,hybrid,4.3,"Relaxed,Focused,Happy,Uplifted,Euphoric","Earthy,Pine,Coffee"
1001,Headband,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Creative","Earthy,Diesel,Citrus"
1002,Headbanger,hybrid,4.4,"Happy,Uplifted,Euphoric,Relaxed,Hungry","Citrus,Skunk,Sweet"
1003,Heaven Scent,hybrid,4.8,"Creative,Energetic,Euphoric,Focused,Happy","Minty,Sweet,Tropical"
1004,Heavy Duty Fruity,hybrid,4.1,"Relaxed,Happy,Sleepy,Hungry,Giggly","Sweet,Citrus,Earthy"
1005,Heisenberg Kush,sativa,4.4,"Talkative,Relaxed,Focused,Hungry,Happy","Berry,Sweet,Strawberry"
1006,Hell Raiser Og,hybrid,4.8,"Relaxed,Euphoric,Uplifted,Talkative,Happy","Pine,Citrus,Spicy/Herbal"
1007,Hells Angel Og,hybrid,4.5,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Earthy,Pungent,Woody"
1008,Hellfire Og,hybrid,4.5,"Euphoric,Relaxed,Happy,Energetic,Sleepy","Earthy,Citrus,Diesel"
1009,Hemlock,hybrid,4.5,"Happy,Uplifted,Relaxed,Giggly,Talkative","Sweet,Citrus,Pine"
1010,Hempstar,sativa,4.3,"Happy,Euphoric,Creative,Uplifted,Energetic","Woody,Pungent,Earthy"
1011,Hercules,hybrid,4.8,"Happy,Uplifted,Energetic,Giggly,Creative","Earthy,Sweet,Tropical"
1012,Herojuana,indica,4.4,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Earthy,Spicy/Herbal,Woody"
1013,Hibiscus Sunrise,hybrid,4.5,"Euphoric,Uplifted,Relaxed,Energetic,Happy","Flowery,Lavender,Sweet"
1014,Higher Power,sativa,4.8,"Creative,Uplifted,Energetic,Focused,Happy","Grape,Flowery,Tree,Fruit"
1015,Highwayman,hybrid,3.8,"Focused,Happy,Relaxed,Sleepy,Euphoric","Spicy/Herbal,Flowery,Earthy"
1016,Himalayan Blackberry,indica,4.9,"Sleepy,Relaxed,Euphoric,Happy,Uplifted","Earthy,Berry,Pine"
1017,Himalayan Gold,hybrid,4.2,"Happy,Euphoric,Creative,Aroused,Sleepy","Spicy/Herbal,Earthy,Citrus"
1018,Hindu Kush,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Earthy,Woody,Sweet"
1019,Hindu Skunk,indica,4.2,"Relaxed,Euphoric,Happy,Aroused,Uplifted","Earthy,Woody,Sweet"
1020,Hippie Chicken,sativa,4.3,"Euphoric,Happy,Uplifted,Relaxed,Talkative","Sweet,Tree,Fruit,Berry"
1021,Hippie Crippler,hybrid,4.3,"Happy,Uplifted,Relaxed,Euphoric,Energetic","Pungent,Earthy,Sweet"
1022,Hoarfrost,hybrid,4.8,"Creative,Euphoric,Focused,Happy,Hungry","Spicy/Herbal,Woody,Vanilla"
1023,Hobbit,hybrid,4.3,"Tingly,Uplifted,Happy,Focused,Hungry","Flowery,Tea,Vanilla"
1024,Hogs Breath,indica,4.2,"Relaxed,Happy,Sleepy,Hungry,Tingly","Earthy,Pungent,Cheese"
1025,Hollands Hope,indica,4.2,"Relaxed,Euphoric,Happy,Sleepy,Uplifted","Sweet,Earthy,Pungent"
1026,Hollywood Og,hybrid,4.4,"Relaxed,Happy,Hungry,Tingly,Uplifted","Earthy,Sweet,Ammonia"
1027,Holy Ghost,hybrid,4.6,"Relaxed,Euphoric,Hungry,Giggly,Happy","Earthy,Citrus,Grapefruit"
1028,Holy Grail Kush,hybrid,4.5,"Relaxed,Happy,Uplifted,Euphoric,Creative","Earthy,Pungent,Woody"
1029,Honduras,sativa,3,None,None
1030,Honey Bananas,hybrid,4.7,"Happy,Relaxed,Uplifted,Euphoric,Creative","Honey,Sweet,Flowery"
1031,Honey Boo Boo,indica,4.7,"Euphoric,Happy,Aroused,Creative,Giggly","Sweet,Pungent,Butter"
1032,Honey Rock,hybrid,4,"Hungry,Relaxed,Tingly,Sleepy,Euphoric",Honey
1033,Hong Kong,hybrid,4.5,"Hungry,Relaxed,Happy,Uplifted,Energetic","Diesel,Citrus,Earthy"
1034,Hoodwreck,sativa,4.2,"Euphoric,Happy,Creative,Energetic,Focused","Sweet,Minty,Tropical"
1035,Huckleberry,hybrid,4.2,"Happy,Relaxed,Talkative,Uplifted,Euphoric","Berry,Earthy,Sweet"
1036,Huckleberry Hound,hybrid,5,"Creative,Euphoric,Happy,Relaxed","Blueberry,Skunk,Chemical"
1037,Hulkamania,indica,4.5,"Aroused,Tingly,Uplifted,Euphoric,Happy","Sweet,Berry,Flowery"
1038,Humboldt,hybrid,4.3,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Flowery,Sweet,Citrus"
1039,Humboldt Dream,indica,4.8,"Relaxed,Creative,Euphoric,Uplifted,Happy","Sweet,Berry,Earthy"
1040,Humboldt Headband,indica,4.8,"Euphoric,Sleepy,Happy,Relaxed,Focused","Sweet,Grape,Diesel"
1041,Hurkle,hybrid,4.7,"Relaxed,Happy,Hungry,Focused,Sleepy","Sweet,Earthy,Berry"
1042,Hurricane,sativa,4.3,"Uplifted,Relaxed,Energetic,Happy,Focused","Spicy/Herbal,Grape,Berry"
